iter	Logloss
578	0.1272961568
579	0.1272398354
580	0.1271348974
581	0.1270072525
582	0.1269038706
583	0.1267613447
584	0.1266950824
585	0.1266042928
586	0.1263631665
587	0.126246082
588	0.1261086776
589	0.1259346446
590	0.1257238848
591	0.1255696504
592	0.1254448307
593	0.1252934593
594	0.1250708702
595	0.1249856553
596	0.1249049878
597	0.1247726142
598	0.1245728528
599	0.1243632639
600	0.1242942142
601	0.1242069673
602	0.1241081555
603	0.1239659015
604	0.1238906728
605	0.1237661477
606	0.1235964657
607	0.1234877206
608	0.123363203
609	0.123214483
610	0.123085841
611	0.1230001578
612	0.122806092
613	0.1225989958
614	0.1224833314
615	0.122338139
616	0.1222279208
617	0.1220186492
618	0.121771714
619	0.1216561025
620	0.1214948506
621	0.1213989621
622	0.1213024995
623	0.1211617336
624	0.1210380848
625	0.1208725499
626	0.1207455698
627	0.1205763788
628	0.1204999263
629	0.1203255987
630	0.1201978406
631	0.1201096721
632	0.1199452552
633	0.1198618456
634	0.1197335512
635	0.1196106577
636	0.1194387398
637	0.1192354734
638	0.1190641447
639	0.1189441746
640	0.118818048
641	0.1186593493
642	0.1184910195
643	0.1184174677
644	0.1183181045
645	0.1182025458
646	0.1180837616
647	0.1179795186
648	0.1178956709
649	0.1177812302
650	0.1176593112
651	0.1175226772
652	0.117415949
653	0.1173367847
654	0.1172094043
655	0.1170175291
656	0.1169318081
657	0.1167582208
658	0.1166437498
659	0.1165021379
660	0.1163819563
661	0.1162249874
662	0.1160574809
663	0.1159434104
664	0.1157518449
665	0.1155810147
666	0.115512947
667	0.1153681399
668	0.1152212932
669	0.1151757133
670	0.1151152523
671	0.1149916412
672	0.1148684834
673	0.1147850965
674	0.1146902278
675	0.114640599
676	0.1144865988
677	0.1143343964
678	0.1142366195
679	0.1140906792
680	0.1139534335
681	0.1138337428
682	0.1137470398
683	0.1135966579
684	0.1134477339
685	0.113344216
686	0.113226089
687	0.1130587487
688	0.1129744025
689	0.1128818528
690	0.1127783501
691	0.1126656845
692	0.1125429572
693	0.1124424533
694	0.1123072999
695	0.1121437668
696	0.1120283139
697	0.1118887188
698	0.1118172595
699	0.1116629798
700	0.1115567501
701	0.1114524617
702	0.111331842
703	0.1112323276
704	0.1111607701
705	0.1110714081
706	0.1108682702
707	0.110779724
708	0.1106368733
709	0.1105316256
710	0.1103681302
711	0.1103308142
712	0.1102030334
713	0.1101025597
714	0.1099917373
715	0.109851961
716	0.1097033618
717	0.1095958857
718	0.1095044691
719	0.1094025678
720	0.1092827034
721	0.109155829
722	0.1090693375
723	0.1089981652
724	0.1088842986
725	0.1086644591
726	0.108536648
727	0.1084075604
728	0.1083294084
729	0.108221887
730	0.1080395674
731	0.1078722498
732	0.1077002034
733	0.1075799991
734	0.1074577553
735	0.1073267112
736	0.1072460362
737	0.1071808918
738	0.1070353293
739	0.106864975
740	0.1067316648
741	0.1066653873
742	0.1065538473
743	0.1064959924
744	0.1064057013
745	0.1063271489
746	0.1062288885
747	0.1060353062
748	0.1058755424
749	0.1057349805
750	0.1056693527
751	0.1056054396
752	0.105430893
753	0.1053371951
754	0.1052046705
755	0.1050753713
756	0.1049165971
757	0.1048094232
758	0.1046905861
759	0.1045605996
760	0.104416442
761	0.1042759557
762	0.1041430987
763	0.1039822396
764	0.1038970247
765	0.1037935748
766	0.103682775
767	0.1035607125
768	0.1034626183
769	0.1033593874
770	0.1032506876
771	0.1031389814
772	0.1031216529
773	0.1030107474
774	0.1029150628
775	0.1028176938
776	0.102647891
777	0.1025668307
778	0.1024610995
779	0.1023537141
780	0.1022217636
781	0.1020311725
782	0.1019065266
783	0.1017997001
784	0.1016814145
785	0.1015781232
786	0.1014676483
787	0.1013218138
788	0.1012755616
789	0.1012063533
790	0.1010832785
791	0.100976724
792	0.1008570787
793	0.1006965897
794	0.1005784778
795	0.1004941996
796	0.1003835962
797	0.1002695785
798	0.1002178649
799	0.1000980761
800	0.09999766284
801	0.09987028238
802	0.09982081226
803	0.09976721775
804	0.09969713319
805	0.09959948466
806	0.09946092451
807	0.09934556977
808	0.09924852555
809	0.09915366439
810	0.09905622736
811	0.09897932924
812	0.09884501435
813	0.09874684461
814	0.09858668803
815	0.09853349386
816	0.09845304543
817	0.0983707312
818	0.09827920128
819	0.09816577278
820	0.0980355974
821	0.09795968127
822	0.09787080275
823	0.09776597807
824	0.09765894011
825	0.09760855598
826	0.0974888049
827	0.09742174188
828	0.09734921743
829	0.09725071532
830	0.09717676319
831	0.09709517413
832	0.09700686215
833	0.0969529126
834	0.09688658986
835	0.09674835453
836	0.09666332847
837	0.09658979181
838	0.09651632313
839	0.09643856387
840	0.09635609856
841	0.09624653007
842	0.09613051059
843	0.09604933699
844	0.09593128553
845	0.09584133436
846	0.0958017069
847	0.09568749279
848	0.09557495564
849	0.09551997121
850	0.09544064831
851	0.09536514009
852	0.0953075798
853	0.09520976509
854	0.09507994474
855	0.09492595965
856	0.09476559156
857	0.09467866193
858	0.09455754361
859	0.09452054488
860	0.09441659645
861	0.09433226534
862	0.09415996973
863	0.09410620903
864	0.09405838565
865	0.09396995281
866	0.09389136262
867	0.0938443475
868	0.09375061186
869	0.09367045048
870	0.09354963431
871	0.09338242244
872	0.09328586921
873	0.09325378804
874	0.09316404083
875	0.0930568669
876	0.09297966663
877	0.09289100717
878	0.09284397694
879	0.09273079771
880	0.09265607509
881	0.09255891756
882	0.09252389794
883	0.09240954786
884	0.0923752232
885	0.09229451794
886	0.09222132875
887	0.09205949522
888	0.09196955161
889	0.09187644294
890	0.09181435034
891	0.09173628893
892	0.09167430209
893	0.09156750586
894	0.0914085881
895	0.09131844809
896	0.09124466971
897	0.09114251153
898	0.0910484964
899	0.09094856661
900	0.0908518472
901	0.09069579991
902	0.09055900736
903	0.09046688824
904	0.0903880941
905	0.09030594606
906	0.09023188063
907	0.09018233497
908	0.09011964562
909	0.09000262149
910	0.08995427689
911	0.08986464299
912	0.08978098417
913	0.08972945941
914	0.08964329272
915	0.08954274351
916	0.08945644841
917	0.08940065572
918	0.08931327286
919	0.08925853772
920	0.08916379741
921	0.08913166337
922	0.08907204088
923	0.08893456849
924	0.08887366941
925	0.0887247756
926	0.08863116838
927	0.08858535432
928	0.08850548753
929	0.0884388853
930	0.08838578178
931	0.08832553988
932	0.08824083108
933	0.08815971792
934	0.08809011681
935	0.08801038599
936	0.08795271995
937	0.08788194044
938	0.08777793913
939	0.08772977582
940	0.08764348072
941	0.08756291898
942	0.08751025359
943	0.08743142923
944	0.08730955553
945	0.08721371236
946	0.08712721331
947	0.0870606715
948	0.08702240373
949	0.08697076566
950	0.08685482927
951	0.08682369233
952	0.08676518782
953	0.08668532103
954	0.08660272731
955	0.08654043832
956	0.08644068227
957	0.08634248986
958	0.08625346026
959	0.08618475051
960	0.08610131831
961	0.08597482165
962	0.08592562347
963	0.08580239007
964	0.08574423303
965	0.08568620441
966	0.08562616646
967	0.08550950491
968	0.08543040106
969	0.08531620206
970	0.08518673674
971	0.08516065332
972	0.08504402199
973	0.08495605748
974	0.08482983276
975	0.08475682487
976	0.08467448798
977	0.08458051061
978	0.08446727095
979	0.08440384888
980	0.08430746184
981	0.08423723376
982	0.08412033049
983	0.08405885731
984	0.08399118243
985	0.08392566795
986	0.08384261344
987	0.08376610812
988	0.08367623249
989	0.08358981653
990	0.08349010579
991	0.08338895983
992	0.08337919272
993	0.08326589262
994	0.08321990482
995	0.08311210393
996	0.08300358542
997	0.08292911963
998	0.08286805436
999	0.08279460834
